Substance,ISO,Country,Subnational code *,Subnational desc,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022,Y_2023,Y_2024
GWP_100_AR5_GHG,BEL,Belgium,BE22,Prov. Limburg (BE),9395.7097097514,9742.3549031426,9707.2819533238,9350.3843636658,9663.2553929213,9752.2699853998,10045.690928865,9607.6542117027,9587.8319806293,8857.3819152277,8954.3334197879,9128.7552333043,8832.0380473233,9036.0632415175,8771.4236418278,8662.7698363036,8271.6400638673,8340.5127725245,8490.4752033239,8027.8861955554,8229.1515498459,8957.6535719882,8928.3965793961,9285.2778698748,10442.657772932,10890.176870823,9404.2802266934,7043.6976341124,7034.810387029,6991.2425348235,6532.9734277827,6746.6625363346,6332.4596157767,6026.8241937074,6029.5292484342
GWP_100_AR5_GHG,BEL,Belgium,BE23,Prov. Oost-Vlaanderen,23540.098002599,23662.668500345,22992.247971079,22824.480201116,24229.718810487,24058.708038651,24496.683224547,23687.172930573,26253.357973144,25246.495473841,25939.061111226,24707.841632119,22578.224717576,23395.374150796,22585.687999952,21584.075944359,21229.831271492,21110.452272089,21300.874920087,19906.195410638,22901.856118567,20980.561295774,20615.067582478,21091.256223921,19159.86748188,19738.696886587,21110.459588645,21329.524563688,21312.024095865,21032.102727719,19282.128459742,20036.820321235,19028.475071613,17966.497565981,18406.427019606
GWP_100_AR5_GHG,BEL,Belgium,BE24,Prov. Vlaams-Brabant,8133.0225865487,8480.7586117105,8227.3076443712,11711.725278332,10853.566771877,11073.907203947,11775.656068784,11706.071134803,11174.52218127,11039.275331384,10587.112059825,11505.542434222,11180.974301571,11733.555301677,12533.931915629,12016.801514938,11549.326123296,10975.895349448,10640.951799541,10385.647975329,10497.031372354,9242.6088567888,9178.1295306031,9200.3108579624,8488.7230144873,9059.147799992,9053.2004148183,9227.1587789848,9218.5555079059,9166.2698362219,8492.0743934816,8727.5097802721,8253.6311205963,7811.597650652,7826.1956097163
GWP_100_AR5_GHG,BEL,Belgium,BE25,Prov. West-Vlaanderen,10909.364995949,11658.804543827,11743.136477032,11412.815771011,11675.545052831,12047.135654302,12750.948524445,12515.698442758,14730.860424541,14899.172960312,14456.540614466,14201.077979846,13768.049847061,13962.636152948,14274.459779153,13709.601346914,13433.805033585,13098.594947391,13159.199931315,12905.777246257,13047.460924987,11768.848966203,11936.318284083,11972.819645093,11202.909113039,11703.851616237,11710.608425662,11649.242771462,11688.465357665,11644.896460123,10977.759945608,11249.54814898,10621.971878086,10182.267548537,10148.171677212
GWP_100_AR5_GHG,BEL,Belgium,BE31,Prov. Brabant wallon,2940.6061139264,3071.8942357286,3099.6107017033,3083.4967397681,3180.5754478147,3229.5930387457,3424.087786592,3327.5732301155,3359.8951816449,3325.883607622,3251.1811619738,3351.1760141208,3156.5055783832,3272.2533714188,3304.1869000301,3207.8397916053,3137.3853361271,3044.5918415364,3234.3496859071,3057.1185169363,3139.7270436174,2898.1755177962,3057.9906716371,3134.761665005,2953.5971124069,3118.9497000036,3158.6505311844,3114.2095389975,3156.6806032171,3117.3938720098,2880.6253050949,2987.2637022041,2843.9538938104,2777.7478095671,2797.9086532319
GWP_100_AR5_GHG,BEL,Belgium,BE32,Prov. Hainaut,27990.627875547,27912.825819486,27521.612811103,27107.77389663,28784.876389361,29186.596225574,29866.161652052,28894.454736166,29239.077771948,28356.447002337,28931.928982222,29880.167793863,28935.649773562,28740.167855392,27801.204447524,27573.861945077,27155.786335693,26887.179481185,26396.23662415,25735.649802917,27837.385503333,26272.668511603,25984.611060666,26213.963710793,25604.114604095,26106.44000952,26190.579832322,26061.613636048,26184.679475845,25970.122057894,24738.486834559,25507.137136192,23632.344513769,22382.86096347,22490.045797731
GWP_100_AR5_GHG,BEL,Belgium,BE33,Prov. Liège,20333.784423989,20499.01402021,19634.659195061,18219.084130457,21889.77805513,21917.160968779,22246.78941859,21948.710647323,21360.624590538,20909.841908533,21421.164697066,20788.025091788,19003.713485882,19807.319529766,19609.145384927,18597.397770396,18009.498742571,17453.331968876,17775.068383913,15251.364420406,16795.499239644,16415.667085798,14825.489437401,14534.765415297,12311.280356415,12581.139422366,12607.686225193,12617.384896155,12734.793611647,12860.376861382,11832.141614366,12302.893997153,11641.67797015,11097.463141963,11171.84260849
GWP_100_AR5_GHG,BEL,Belgium,BE34,Prov. Luxembourg (BE),3792.2227962685,3868.7258550424,3992.5263480431,4045.1614644842,4152.3101572248,4232.1917652692,4401.4755147732,4328.6808378632,4309.8548725397,4329.5486302329,4364.5389316632,4477.8632465901,4410.8139228572,4572.1345979841,4686.7989873752,4587.7755789677,4468.1214827671,4460.2779097157,4574.724631425,4410.5489812569,4468.2401672135,4146.104758344,4134.9058329058,4223.0590914409,4041.3905848079,4294.4162978243,4285.5431537065,4235.1656067051,4226.9523268175,4199.9966834221,3810.5168815702,4058.1614607229,3888.6692563751,3873.1497058816,3898.3953047332
GWP_100_AR5_GHG,BEL,Belgium,BE35,Prov. Namur,7880.1126589342,7987.2519808984,7923.8881464863,7694.0377347057,8118.6809545655,8121.7484226953,8274.8525733507,8164.6948159544,8239.7574274235,8191.7376111188,8904.2574625085,8685.3959073313,8184.9770461239,8501.1766043489,8591.4996389589,8312.8460277202,8257.102310291,8142.2621523589,8235.7199080477,7378.1650213885,7791.6909661634,7338.5713318938,7078.7788599826,7322.6229656112,7470.1508321297,7784.3582002767,6696.0654650941,6545.322788717,6648.0017072535,6697.6984053611,6106.0740431659,6406.7116810901,6084.4058411779,5926.0131171698,5948.6053110114
GWP_100_AR5_GHG,BEL,Belgium,,,631.6484298682,632.4254083258,714.974163509,752.1101592184,850.5286852394,940.2388692606,979.7832736892,1060.8305002438,1103.5386103098,1020.4405225486,933.7626464844,892.6803425344,805.7049344692,901.8821116234,797.5944439054,740.5256652104,483.699390268,504.5768014896,502.1034182458,426.5112290012,505.1964171542,485.5427952748,470.014201003,479.9504673756,457.166029558,445.9747793356,429.8072010958,437.4787809036,430.789204652,405.3280705776,398.0463782516,398.3567930148,404.4178239786,381.8150750633,371.7048638547
